produto,sentido,porto
BB,TCP(NCO),Paranaguá
BB,TCP(NBN),Paranaguá
BB,CATTALINI,Paranaguá
BB,TCP(IPS),Paranaguá
BE,PETROBRAS TRANSPORTE S.A - TRANSPETRO,Paranaguá
BE,TIBAGI,Paranaguá
BB,CBL - COMPANHIA BRASILEIRA DE LOGÍSTICA,Paranaguá
BB,CATTALINI,Paranaguá
BB,CATTALINI,Paranaguá
BB,PORTO PONTA DO FELIX S/A,Paranaguá
BB,FOSPAR,Paranaguá
BB,TIBAGI,Paranaguá
BE,CEU AZUL,Paranaguá
BB,CARGONAVE,Paranaguá
BB,PORTO PONTA DO FELIX S/A,Paranaguá
BB,FORTESOLO,Paranaguá
BB,HARBOR,Paranaguá
BE,FORTEPAR OPERAÇÕES PORTUÁRIAS S.A.,Paranaguá
BB,ALPHAMAR PORT SERVICES,Paranaguá
BB,MARCON,Paranaguá
BE,HARBOR,Paranaguá
BE,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,Paranaguá
BB,HARBOR,Paranaguá
BB,FORTESOLO,Paranaguá
